Exp. No.;Combination;Train DS Length;Test DataSet;Test DS Length;Precision;Recall;F1Score;Accuracy
2;T100:GS6;1104;GS91;92;93.33633498424133;92.8763440860215;93.10577139007411;98.29006419360337
3;T100:GS6;1104;Test;2110;99.5058925116331;99.42639845335293;99.46612959943735;99.86754452486709
3;T100:GS6;1104;GS91;92;94.01518535060295;93.30673758865248;93.65962180200222;98.24698325028517
4;T100:GS6;1104;Test;2110;99.6022389805799;99.28238249013276;99.44205353051635;99.85585797598124
4;T100:GS6;1104;GS91;92;96.01401664476566;93.27659574468085;94.62551262680769;98.64118261908317
5;T100:GS6;1104;Test;2110;99.5435760402317;99.40828402366864;99.4758840310489;99.86814565845997
5;T100:GS6;1104;GS91;92;95.55075593952483;95.26270456503015;95.40651283157213;98.90440277211577
6;T100:GS6;1104;Test;2110;99.58774739262543;99.33160774548672;99.45951265921413;99.86271377501433
6;T100:GS6;1104;GS91;92;95.77114427860697;92.95774647887323;94.34347559730448;98.84847305971601
7;T100:GS6;1104;Test;2110;99.66679313131979;99.45025100814748;99.55840432368304;99.89877850534023
7;T100:GS6;1104;GS91;92;94.39295644114921;93.4832491968793;93.93590039197602;98.74670783761694
8;T100:GS6;1104;Test;2110;99.62875816993464;99.38624706598279;99.50735486117156;99.8759394765097
8;T100:GS6;1104;GS91;92;93.12472454825914;90.95996556177357;92.02961672473867;98.04448047013527
9;T100:GS6;1104;Test;2110;99.60378474275576;99.39072066091317;99.4971386376223;99.89248713103538
9;T100:GS6;1104;GS91;92;93.62017804154303;91.36100386100387;92.47679531021006;97.91640198195908
10;T100:GS6;1104;Test;2110;99.58016059256421;99.5452006702306;99.56267756248604;99.8973902797773
10;T100:GS6;1104;GS91;92;95.03599848427434;94.96402877697841;95.0;98.89849178105405
1;T100:GS3;1071;Test;2110;99.56513550993854;99.34402705888382;99.45445839176386;99.86093281985453
1;T100:GS3;1071;GS91;92;95.8381061473845;93.79671150971599;94.80642115203021;99.03615284352063
2;T100:GS3;1071;Test;2110;99.52813007053214;99.39976188901383;99.46390456177508;99.8709598649394
