Exp. No.;Combination;Train DS Length;Test DataSet;Test DS Length;Precision;Recall;F1Score;Accuracy
4;Synth100:GS02;1060;GS91;92;88.99954730647352;83.65957446808511;86.2469839877166;96.5905131650988
5;Synth100:GS02;1060;Test;2110;96.80050500855525;96.58230155967713;96.6912801792085;99.12331123328785
5;Synth100:GS02;1060;GS91;92;84.84328037784456;85.09905254091301;84.97097398408944;96.24439461883408
6;Synth100:GS02;1060;Test;2110;98.19785403448161;96.85298646833328;97.520783847981;99.32742344823534
6;Synth100:GS02;1060;GS91;92;86.46179401993356;83.78269617706238;85.1011649294911;96.86053297023925
7;Synth100:GS02;1060;Test;2110;98.2415927722938;96.64883548679121;97.43870566272558;99.35829750383616
7;Synth100:GS02;1060;GS91;92;88.03803803803804;80.7251032583754;84.22312664591811;96.53982381255108
8;Synth100:GS02;1060;Test;2110;97.7660096794557;96.93819003738156;97.35034004696925;99.24864435682514
8;Synth100:GS02;1060;GS91;92;84.14578587699316;79.50925527335342;81.7618415227977;94.99974669436142
9;Synth100:GS02;1060;Test;2110;97.30628730955422;96.67035479825921;96.98727863417378;99.27673160878348
9;Synth100:GS02;1060;GS91;92;83.19572608062165;82.67374517374517;82.93391430646334;94.68301359420657
10;Synth100:GS02;1060;Test;2110;96.64271259898979;96.78768052341817;96.7151422375303;99.15844423376289
10;Synth100:GS02;1060;GS91;92;84.96583143507974;84.74062854979174;84.85308056872037;96.33113031689544
1;Synth100:GS04;1082;Test;2110;98.6520073181677;97.63918071712875;98.14298101771165;99.46466112258376
1;Synth100:GS04;1082;GS91;92;90.67236688690244;87.18236173393123;88.89312249952373;97.70871921520204
2;Synth100:GS04;1082;Test;2110;97.07436611265774;96.28943713208545;96.68030847646165;99.10556030363375
2;Synth100:GS04;1082;GS91;92;82.62653898768811;81.18279569892472;81.89830508474577;94.58046923819803
3;Synth100:GS04;1082;Test;2110;97.45324378910034;94.82799942480068;96.12270018139414;98.97735379307102
3;Synth100:GS04;1082;GS91;92;84.10985777341834;76.01950354609929;79.86030267753202;94.26667467130936
4;Synth100:GS04;1082;Test;2110;97.87876017189357;96.02619303911015;96.94362689608333;99.15083678367175
4;Synth100:GS04;1082;GS91;92;89.55503512880561;81.36170212765957;85.26198439241917;96.33666815987259
5;Synth100:GS04;1082;Test;2110;98.63502274962084;98.09225465334063;98.36288995628834;99.53883889198475
5;Synth100:GS04;1082;GS91;92;89.80477223427332;89.14728682170544;89.47482169872488;97.28393803505911
6;Synth100:GS04;1082;Test;2110;96.99713618831632;95.99128468923035;96.49158920058296;99.06397664034998
6;Synth100:GS04;1082;GS91;92;84.90004253509144;80.32193158953721;82.54755996691479;96.26142773779421
7;Synth100:GS04;1082;Test;2110;97.23556901204502;97.26277672619538;97.24917096612275;99.36304522872639
7;Synth100:GS04;1082;GS91;92;85.36245353159852;84.30472693896283;84.83029323481873;96.70783761692853
8;Synth100:GS04;1082;Test;2110;97.1044195701298;96.38181343997219;96.7417671593864;99.10044842240127
8;Synth100:GS04;1082;GS91;92;83.06159420289855;78.94963409384417;80.95343191348489;94.95415167941638
9;Synth100:GS04;1082;Test;2110;97.28563164686513;96.76034520911706;97.02227744741279;99.34335700788428
9;Synth100:GS04;1082;GS91;92;82.78048780487805;81.9015444015444;82.33867054827752;94.9434633464617
10;Synth100:GS04;1082;Test;2110;98.47123593712598;98.47123593712598;98.47123593712598;99.60185087647429
10;Synth100:GS04;1082;GS91;92;90.1355421686747;90.64748201438849;90.39078723805927;97.51313336722589
1;Synth100:GS06;1104;Test;2110;98.56061781386288;97.67163771161106;98.11411411411412;99.45559152387862
1;Synth100:GS06;1104;GS91;92;91.16043613707166;87.4813153961136;89.28299008390542;97.83563147424023
2;Synth100:GS06;1104;Test;2110;97.96200633227795;97.2071565579734;97.58312169048686;99.34595807563899
2;Synth100:GS06;1104;GS91;92;84.81362172112287;82.57168458781362;83.67763904653802;95.4325967164688
3;Synth100:GS06;1104;Test;2110;96.727022837326;96.70538610254525;96.71620325982742;99.13106755433638
3;Synth100:GS06;1104;GS91;92;83.78752886836027;80.40780141843972;82.06288170097262;94.79498108903164
4;Synth100:GS06;1104;Test;2110;97.99459299311162;94.94259059921062;96.44445254410263;98.9843870654596
4;Synth100:GS06;1104;GS91;92;89.28746928746929;77.31914893617021;82.87343215507411;95.78418197202727
5;Synth100:GS06;1104;Test;2110;97.68825972191866;96.30550445030083;96.99195406136279;99.17706217118688
5;Synth100:GS06;1104;GS91;92;87.63636363636364;83.03186907838071;85.27200353825741;96.23929881777416
6;Synth100:GS06;1104;Test;2110;98.76060227496876;98.42731234232168;98.59367564285598;99.60724384258685
6;Synth100:GS06;1104;GS91;92;88.52589641434263;89.41649899396378;88.96896896896897;97.59968877650263
7;Synth100:GS06;1104;Test;2110;98.25243042238489;96.98131841000742;97.6127364898446;99.39513984898437
